iter	Passed	Remaining
0	79	79134
1	91	45891
2	109	36363
3	129	32285
4	153	30552
5	173	28751
6	190	27056
7	216	26796
8	238	26211
9	272	26959
10	293	26399
11	323	26620
12	352	26792
13	370	26117
14	397	26084
15	440	27074
16	468	27094
17	508	27731
18	537	27727
19	559	27438
20	586	27352
21	606	26981
22	625	26564
23	652	26543
24	667	26043
25	682	25550
26	699	25201
27	710	24679
28	733	24561
29	745	24116
30	767	23997
31	787	23812
32	803	23547
33	827	23507
34	846	23334
35	864	23148
36	880	22904
37	897	22713
38	926	22841
39	941	22594
40	958	22409
41	977	22301
42	997	22197
43	1016	22084
44	1040	22090
45	1055	21888
46	1071	21732
47	1100	21829
48	1131	21956
49	1155	21954
50	1175	21880
51	1198	21849
52	1220	21810
53	1233	21616
54	1259	21643
55	1273	21472
56	1287	21303
57	1308	21246
58	1326	21157
59	1343	21054
60	1360	20939
61	1378	20855
62	1401	20849
63	1418	20741
64	1433	20626
65	1462	20692
66	1491	20766
67	1515	20771
68	1539	20772
69	1570	20860
70	1598	20911
71	1624	20941
72	1662	21109
73	1708	21382
74	1746	21543
75	1781	21662
76	1809	21692
77	1837	21717
78	1853	21610
79	1870	21509
80	1898	21536
81	1917	21465
82	1941	21451
83	1962	21396
84	1986	21383
85	1999	21254
86	2028	21291
87	2057	21322
88	2079	21285
89	2096	21201
90	2135	21334
91	2177	21489
92	2204	21496
93	2217	21372
94	2243	21374
95	2265	21333
96	2279	21223
97	2301	21187
98	2321	21124
99	2352	21168
100	2386	21238
101	2398	21113
102	2421	21085
103	2433	20965
104	2449	20876
105	2477	20895
106	2501	20877
107	2525	20857
108	2552	20867
109	2581	20890
110	2606	20876
111	2635	20896
112	2654	20839
113	2678	20815
114	2701	20792
115	2729	20800
116	2751	20764
117	2771	20718
118	2781	20590
119	2800	20535
120	2826	20529
121	2838	20429
122	2860	20398
123	2877	20330
124	2895	20269
125	2918	20242
126	2940	20215
127	2964	20192
128	2987	20171
129	3003	20101
130	3017	20015
131	3039	19988
132	3055	19919
133	3068	19830
134	3080	19736
135	3096	19670
136	3108	19580
137	3121	19498
138	3139	19446
139	3160	19412
140	3186	19415
141	3208	19384
142	3226	19338
143	3242	19275
144	3256	19202
145	3275	19157
146	3293	19112
147	3308	19049
148	3339	19071
149	3367	19082
150	3399	19112
151	3436	19170
152	3461	19163
153	3497	19216
154	3516	19173
155	3527	19083
156	3566	19148
157	3607	19222
158	3645	19284
159	3659	19214
160	3669	19122
161	3684	19057
162	3710	19050
163	3729	19010
164	3754	18998
165	3782	19005
166	3803	18970
167	3814	18889
168	3826	18813
169	3838	18739
170	3841	18625
171	3855	18558
172	3867	18487
173	3876	18402
174	3884	18314
175	3895	18236
176	3902	18147
177	3910	18059
178	3922	17990
179	3930	17905
180	3938	17823
181	3955	17777
182	3962	17692
183	3969	17604
184	3992	17587
185	3998	17500
186	4003	17405
187	4012	17329
188	4022	17261
189	4033	17196
190	4046	17139
191	4053	17056
192	4061	16981
193	4069	16908
194	4079	16842
195	4091	16785
196	4105	16734
197	4118	16680
198	4131	16631
199	4137	16549
200	4143	16469
201	4151	16398
202	4163	16346
203	4172	16282
204	4179	16209
205	4191	16156
206	4198	16084
207	4210	16031
208	4222	15982
209	4234	15930
210	4244	15871
211	4259	15832
212	4268	15770
213	4276	15706
214	4284	15644
215	4293	15585
216	4302	15522
217	4310	15461
218	4321	15412
219	4333	15364
220	4342	15306
221	4353	15258
222	4362	15201
223	4371	15145
224	4380	15088
225	4390	15035
226	4398	14979
227	4408	14927
228	4418	14876
229	4441	14869
230	4452	14821
231	4477	14823
232	4497	14806
233	4515	14781
234	4526	14733
235	4538	14691
236	4548	14645
237	4557	14591
238	4565	14536
239	4573	14483
240	4584	14439
241	4594	14391
242	4604	14343
243	4611	14287
244	4620	14237
245	4627	14183
246	4638	14140
247	4647	14092
248	4656	14044
249	4665	13997
250	4669	13934
251	4677	13883
252	4687	13839
253	4698	13800
254	4706	13751
255	4716	13707
256	4725	13661
257	4730	13605
258	4738	13555
259	4743	13501
260	4748	13445
261	4760	13409
262	4766	13356
263	4778	13321
264	4790	13287
265	4803	13253
266	4815	13219
267	4824	13178
268	4834	13136
269	4842	13093
270	4847	13039
271	4853	12990
272	4864	12954
273	4873	12912
274	4881	12869
275	4887	12821
276	4900	12789
277	4907	12745
278	4917	12707
279	4929	12674
280	4939	12639
281	4947	12595
282	4953	12551
283	4963	12513
284	4979	12492
285	4994	12469
286	5005	12434
287	5016	12400
288	5021	12354
289	5027	12309
290	5038	12274
291	5047	12237
292	5057	12203
293	5061	12153
294	5067	12111
295	5080	12084
296	5086	12038
297	5094	12000
298	5106	11972
299	5118	11942
300	5124	11899
301	5135	11869
302	5142	11829
303	5149	11790
304	5161	11762
305	5170	11726
306	5176	11685
307	5184	11648
308	5190	11606
309	5200	11574
310	5207	11536
311	5215	11501
312	5228	11476
313	5242	11452
314	5251	11420
315	5260	11386
316	5270	11355
317	5281	11326
318	5287	11288
319	5296	11254
320	5308	11228
321	5311	11184
322	5318	11148
323	5325	11111
324	5337	11084
325	5349	11059
326	5356	11024
327	5364	10991
328	5388	10990
329	5404	10972
330	5427	10969
331	5443	10952
332	5453	10923
333	5477	10922
334	5490	10898
335	5497	10863
336	5506	10832
337	5514	10800
338	5524	10771
339	5533	10742
340	5544	10715
341	5554	10686
342	5566	10661
343	5575	10632
344	5580	10594
345	5590	10566
346	5600	10538
347	5609	10509
348	5618	10479
349	5624	10445
350	5633	10416
351	5640	10384
352	5657	10369
353	5664	10336
354	5675	10312
355	5687	10288
356	5694	10256
357	5702	10225
358	5707	10191
359	5720	10170
360	5730	10143
361	5738	10114
362	5751	10092
363	5758	10061
364	5766	10031
365	5778	10010
366	5787	9981
367	5796	9954
368	5804	9925
369	5816	9904
370	5822	9871
371	5834	9849
372	5846	9828
373	5862	9812
374	5876	9794
375	5887	9770
376	5895	9743
377	5904	9715
378	5913	9688
379	5923	9664
380	5935	9643
381	5945	9619
382	5960	9602
383	5981	9594
384	5990	9569
385	5996	9538
386	6003	9509
387	6011	9481
388	6023	9460
389	6032	9435
390	6046	9417
391	6055	9391
392	6067	9371
393	6088	9365
394	6098	9341
395	6107	9316
396	6116	9290
397	6129	9270
398	6141	9250
399	6152	9229
400	6171	9218
401	6181	9194
402	6191	9172
403	6201	9148
404	6207	9120
405	6223	9105
406	6232	9080
407	6244	9059
408	6262	9049
409	6272	9025
410	6295	9022
411	6306	9001
412	6319	8982
413	6331	8962
414	6347	8948
415	6356	8923
416	6367	8902
417	6383	8888
418	6401	8876
419	6432	8882
420	6441	8858
421	6468	8860
422	6479	8838
423	6496	8826
424	6515	8815
425	6528	8796
426	6542	8778
427	6558	8764
428	6571	8746
429	6581	8723
430	6591	8702
431	6598	8676
432	6613	8660
433	6622	8636
434	6631	8612
435	6642	8592
436	6658	8578
437	6668	8556
438	6678	8535
439	6686	8510
440	6698	8490
441	6710	8471
442	6719	8448
443	6728	8425
444	6741	8407
445	6748	8383
446	6759	8362
447	6766	8337
448	6776	8316
449	6785	8293
450	6793	8269
451	6806	8251
452	6817	8231
453	6824	8207
454	6835	8187
455	6855	8178
456	6874	8167
457	6890	8154
458	6896	8128
459	6908	8109
460	6917	8087
461	6925	8064
462	6930	8038
463	6942	8019
464	6952	7998
465	6960	7975
466	6966	7950
467	6993	7950
468	7002	7927
469	7009	7904
470	7019	7883
471	7028	7862
472	7035	7838
473	7043	7815
474	7051	7794
475	7066	7778
476	7076	7759
477	7086	7739
478	7099	7722
479	7109	7702
480	7121	7683
481	7131	7664
482	7143	7645
483	7152	7625
484	7163	7606
485	7172	7586
486	7183	7567
487	7193	7547
488	7201	7525
489	7210	7505
490	7222	7487
491	7233	7468
492	7241	7447
493	7251	7427
494	7260	7407
495	7271	7388
496	7285	7373
497	7294	7352
498	7302	7331
499	7314	7314
500	7323	7294
501	7337	7278
502	7350	7262
503	7366	7249
504	7379	7233
505	7405	7229
506	7422	7217
507	7440	7206
508	7463	7199
509	7482	7188
510	7504	7181
511	7514	7162
512	7524	7142
513	7536	7125
514	7548	7108
515	7560	7091
516	7574	7076
517	7583	7056
518	7591	7036
519	7603	7018
520	7614	7001
521	7626	6983
522	7639	6967
523	7651	6950
524	7667	6937
525	7677	6918
526	7688	6901
527	7700	6883
528	7710	6865
529	7722	6847
530	7735	6832
531	7744	6813
532	7757	6797
533	7773	6783
534	7782	6763
535	7795	6747
536	7805	6730
537	7817	6713
538	7827	6694
539	7841	6679
540	7856	6665
541	7872	6652
542	7887	6638
543	7899	6621
544	7910	6604
545	7933	6596
546	7949	6583
547	7975	6578
548	8010	6580
549	8028	6568
550	8048	6558
551	8059	6540
552	8075	6527
553	8091	6514
554	8098	6493
555	8105	6472
556	8115	6454
557	8127	6437
558	8147	6427
559	8182	6429
560	8205	6421
561	8231	6415
562	8262	6413
563	8298	6415
564	8342	6423
565	8376	6423
566	8415	6426
567	8457	6432
568	8499	6438
569	8518	6426
570	8548	6422
571	8574	6416
572	8600	6409
573	8629	6404
574	8657	6398
575	8689	6396
576	8715	6389
577	8727	6372
578	8753	6365
579	8781	6359
580	8808	6352
581	8830	6342
582	8854	6333
583	8885	6329
584	8905	6317
585	8925	6305
586	8952	6298
587	8971	6286
588	8988	6271
589	9038	6281
590	9061	6270
591	9093	6266
592	9123	6261
593	9151	6255
594	9167	6240
595	9186	6227
596	9202	6212
597	9226	6202
598	9251	6193
599	9267	6178
600	9284	6163
601	9309	6154
602	9341	6150
603	9356	6134
604	9391	6131
605	9429	6130
606	9456	6122
607	9472	6107
608	9489	6092
609	9509	6079
610	9526	6065
611	9554	6057
612	9572	6043
613	9611	6042
614	9644	6037
615	9670	6028
616	9696	6018
617	9715	6005
618	9758	6006
619	9788	5999
620	9827	5997
621	9842	5981
622	9854	5963
623	9870	5947
624	9899	5939
625	9915	5924
626	9928	5906
627	9969	5905
628	9994	5895
629	10043	5898
630	10063	5884
631	10083	5871
632	10105	5858
633	10137	5852
634	10167	5844
635	10193	5834
636	10210	5818
637	10231	5805
638	10253	5792
639	10296	5791
640	10323	5781
641	10361	5777
642	10386	5766
643	10416	5758
644	10440	5746
645	10457	5730
646	10478	5717
647	10497	5702
648	10531	5695
649	10549	5680
650	10570	5666
651	10580	5647
652	10600	5632
653	10613	5615
654	10636	5602
655	10657	5588
656	10673	5572
657	10689	5555
658	10701	5537
659	10724	5524
660	10751	5513
661	10765	5496
662	10784	5481
663	10801	5465
664	10818	5449
665	10835	5433
666	10845	5414
667	10856	5395
668	10871	5378
669	10885	5361
670	10897	5343
671	10910	5325
672	10919	5305
673	10929	5286
674	10940	5267
675	10955	5250
676	10968	5232
677	10982	5216
678	10999	5200
679	11016	5184
680	11047	5174
681	11080	5166
682	11094	5149
683	11115	5135
684	11135	5120
685	11155	5106
686	11166	5087
687	11182	5071
688	11199	5055
689	11216	5039
690	11231	5022
691	11270	5016
692	11298	5005
693	11316	4989
694	11349	4980
695	11376	4968
696	11403	4957
697	11416	4939
698	11429	4921
699	11441	4903
700	11455	4886
701	11470	4869
702	11482	4851
703	11494	4833
704	11507	4815
705	11522	4798
706	11537	4781
707	11553	4765
708	11567	4747
709	11581	4730
710	11593	4712
711	11604	4694
712	11616	4675
713	11625	4656
714	11637	4638
715	11655	4622
716	11669	4605
717	11684	4589
718	11701	4573
719	11713	4555
720	11724	4536
721	11736	4519
722	11753	4502
723	11767	4486
724	11787	4471
725	11802	4454
726	11813	4436
727	11825	4418
728	11842	4402
729	11855	4384
730	11869	4367
731	11887	4352
732	11899	4334
733	11911	4316
734	11925	4299
735	11938	4282
736	11951	4265
737	11968	4249
738	11982	4231
739	12015	4221
740	12033	4206
741	12084	4202
742	12130	4196
743	12174	4189
744	12193	4173
745	12210	4157
746	12241	4146
747	12280	4137
748	12310	4125
749	12342	4114
750	12370	4101
751	12404	4090
752	12439	4080
753	12458	4064
754	12479	4049
755	12519	4040
756	12536	4024
757	12561	4010
758	12587	3996
759	12614	3983
760	12640	3969
761	12663	3955
762	12696	3943
763	12719	3929
764	12734	3911
765	12753	3895
766	12778	3881
767	12803	3867
768	12833	3855
769	12847	3837
770	12873	3823
771	12886	3805
772	12908	3790
773	12925	3774
774	12946	3758
775	12965	3742
776	12992	3728
777	13012	3713
778	13034	3697
779	13050	3680
780	13071	3665
781	13091	3649
782	13184	3653
783	13206	3638
784	13222	3621
785	13241	3605
786	13263	3589
787	13302	3578
788	13330	3565
789	13350	3548
790	13383	3536
791	13406	3520
792	13429	3505
793	13447	3488
794	13464	3472
795	13483	3455
796	13503	3439
797	13526	3424
798	13543	3407
799	13565	3391
800	13584	3374
801	13605	3358
802	13620	3341
803	13649	3327
804	13662	3309
805	13679	3292
806	13698	3276
807	13712	3258
808	13727	3241
809	13745	3224
810	13767	3208
811	13785	3191
812	13797	3173
813	13808	3155
814	13820	3137
815	13831	3118
816	13843	3100
817	13857	3083
818	13868	3065
819	13885	3048
820	13900	3030
821	13913	3012
822	13926	2995
823	13943	2978
824	13953	2959
825	13967	2942
826	13978	2924
827	13990	2906
828	14004	2888
829	14020	2871
830	14035	2854
831	14052	2837
832	14065	2819
833	14080	2802
834	14104	2787
835	14133	2772
836	14178	2761
837	14220	2749
838	14234	2731
839	14283	2720
840	14312	2705
841	14348	2692
842	14378	2677
843	14392	2660
844	14422	2645
845	14445	2629
846	14475	2614
847	14506	2600
848	14522	2582
849	14536	2565
850	14552	2547
851	14566	2530
852	14579	2512
853	14593	2494
854	14610	2477
855	14624	2460
856	14640	2442
