iter	Accuracy	Logloss
0	0.7865168539	0.6861452724
1	0.7865168539	0.6802219857
2	0.7865168539	0.6742343196
3	0.7991573034	0.6684517968
4	0.7991573034	0.6602640972
5	0.7991573034	0.6544529157
6	0.7991573034	0.6489922512
7	0.797752809	0.6433385037
8	0.8005617978	0.636356175
9	0.8033707865	0.6299797333
10	0.8005617978	0.625506661
11	0.8005617978	0.6189084733
12	0.8033707865	0.6131292664
13	0.8005617978	0.6091348014
14	0.8005617978	0.6053126758
15	0.8005617978	0.5983064212
16	0.7991573034	0.594284802
17	0.8019662921	0.5905894149
18	0.8019662921	0.5855259456
19	0.8019662921	0.5822737051
20	0.8019662921	0.5781262503
21	0.8019662921	0.5753773709
22	0.8033707865	0.5724744571
23	0.8033707865	0.567452312
24	0.8019662921	0.5624259017
25	0.8019662921	0.5585986291
26	0.8033707865	0.5555391539
27	0.8033707865	0.5518160692
28	0.8047752809	0.5470666002
29	0.8047752809	0.5450400929
30	0.8047752809	0.5412363805
31	0.8033707865	0.5375653681
32	0.8061797753	0.5337828563
33	0.8075842697	0.5300507721
34	0.8117977528	0.526659244
35	0.8132022472	0.5241427151
36	0.8117977528	0.5223541246
37	0.8146067416	0.5192979699
38	0.8146067416	0.5165171325
39	0.8146067416	0.5142367083
40	0.8132022472	0.5116793921
41	0.8132022472	0.5099336265
42	0.8132022472	0.5080737891
43	0.8117977528	0.50685783
44	0.8103932584	0.5041612858
45	0.8117977528	0.5031266754
46	0.8117977528	0.5024551986
47	0.8117977528	0.5000103175
48	0.8103932584	0.4979021045
49	0.8103932584	0.4961282939
50	0.8117977528	0.4954777187
51	0.8146067416	0.4925014526
52	0.8174157303	0.489212405
53	0.8188202247	0.4881927039
54	0.8188202247	0.4856570584
55	0.8188202247	0.4846417672
56	0.8188202247	0.4837146048
57	0.8202247191	0.4823059554
58	0.8216292135	0.4810564402
59	0.8216292135	0.4790458429
60	0.8230337079	0.4778760698
61	0.8230337079	0.4768663915
62	0.8230337079	0.4759288575
63	0.8216292135	0.4743544181
64	0.8202247191	0.4726362473
65	0.8216292135	0.4712030337
66	0.8216292135	0.4697543002
67	0.8230337079	0.4680923375
68	0.8216292135	0.4675607717
69	0.8230337079	0.4661001393
70	0.8230337079	0.4646525483
71	0.8216292135	0.4642454087
72	0.8216292135	0.4630219735
73	0.8230337079	0.4613892867
74	0.8230337079	0.4596046382
75	0.8230337079	0.4589136729
76	0.8230337079	0.4574480433
77	0.8230337079	0.4566117547
78	0.8244382022	0.4546525573
79	0.8244382022	0.4541126947
80	0.8244382022	0.4531504123
81	0.8244382022	0.4522171653
82	0.8244382022	0.4516835632
83	0.8244382022	0.4512252028
84	0.8244382022	0.4508883437
85	0.8244382022	0.4506032565
86	0.8244382022	0.4495486635
87	0.8244382022	0.4491941121
88	0.8244382022	0.448407581
89	0.8244382022	0.4478093878
90	0.8244382022	0.4466275484
91	0.8244382022	0.4462957286
92	0.8258426966	0.4460217587
93	0.8244382022	0.4456379332
